state.area,x,y,state.division,state.name,state.region,,,
51609,-86.7509,32.5901,East South Central,Alabama,South,,,
589757,-127.25,49.25,Pacific,Alaska,West,,,
113909,-111.625,34.2192,Mountain,Arizona,West,,,
53104,-92.2992,34.7336,West South Central,Arkansas,South,,,
158693,-119.773,36.5341,Pacific,California,West,,,
104247,-105.513,38.6777,Mountain,Colorado,West,,,
5009,-72.3573,41.5928,New England,Connecticut,Northeast,,,
2057,-74.9841,38.6777,South Atlantic,Delaware,South,,,
58560,-81.685,27.8744,South Atlantic,Florida,South,,,
58876,-83.3736,32.3329,South Atlantic,Georgia,South,,,
6450,-126.25,31.75,Pacific,Hawaii,West,,,
83557,-113.93,43.5648,Mountain,Idaho,West,,,
56400,-89.3776,40.0495,East North Central,Illinois,North Central,,,
36291,-86.0808,40.0495,East North Central,Indiana,North Central,,,
56290,-93.3714,41.9358,West North Central,Iowa,North Central,,,
82264,-98.1156,38.4204,West North Central,Kansas,North Central,,,
40395,-84.7674,37.3915,East South Central,Kentucky,South,,,
48523,-92.2724,30.6181,West South Central,Louisiana,South,,,
33215,-68.9801,45.6226,New England,Maine,Northeast,,,
10577,-76.6459,39.2778,South Atlantic,Maryland,South,,,
8257,-71.58,42.3645,New England,Massachusetts,Northeast,,,
58216,-84.687,43.1361,East North Central,Michigan,North Central,,,
84068,-94.6043,46.3943,West North Central,Minnesota,North Central,,,
47716,-89.8065,32.6758,East South Central,Mississippi,South,,,
69686,-92.5137,38.3347,West North Central,Missouri,North Central,,,
147138,-109.32,46.823,Mountain,Montana,West,,,
77227,-99.5898,41.3356,West North Central,Nebraska,North Central,,,
110540,-116.851,39.1063,Mountain,Nevada,West,,,
9304,-71.3924,43.3934,New England,New Hampshire,Northeast,,,
7836,-74.2336,39.9637,Middle Atlantic,New Jersey,Northeast,,,
121666,-105.942,34.4764,Mountain,New Mexico,West,,,
49576,-75.1449,43.1361,Middle Atlantic,New York,Northeast,,,
52586,-78.4686,35.4195,South Atlantic,North Carolina,South,,,
70665,-100.099,47.2517,West North Central,North Dakota,North Central,,,
41222,-82.5963,40.221,East North Central,Ohio,North Central,,,
69919,-97.1239,35.5053,West South Central,Oklahoma,South,,,
96981,-120.068,43.9078,Pacific,Oregon,West,,,
45333,-77.45,40.9069,Middle Atlantic,Pennsylvania,Northeast,,,
1214,-71.1244,41.5928,New England,Rhode Island,Northeast,,,
31055,-80.5056,33.619,South Atlantic,South Carolina,South,,,
77047,-99.7238,44.3365,West North Central,South Dakota,North Central,,,
42244,-86.456,35.6767,East South Central,Tennessee,South,,,
267339,-98.7857,31.3897,West South Central,Texas,South,,,
84916,-111.33,39.1063,Mountain,Utah,West,,,
9609,-72.545,44.2508,New England,Vermont,Northeast,,,
40815,-78.2005,37.563,South Atlantic,Virginia,South,,,
68192,-119.746,47.4231,Pacific,Washington,West,,,
24181,-80.6665,38.4204,South Atlantic,West Virginia,South,,,
56154,-89.9941,44.5937,East North Central,Wisconsin,North Central,,,
97914,-107.256,43.0504,Mountain,Wyoming,West,173,97203,WY
